symbol,timeframe,horizon,event_spec,event,slice_name,slice,n,mean,std,sharpe,q05,q50,q95,hit_rate
SPY,1d,1,close_above_sma:20,close>sma20,2020-12-10→2021-12-09,unconditional,252,0.0010232679893676826,0.008008832821213833,0.12776743031234783,-0.013057426836882047,0.001459515639184561,0.014202023983987865,0.5873015873015873
SPY,1d,1,close_above_sma:20,close>sma20,2020-12-10→2021-12-09,conditional,176,0.0005243783239088514,0.006511395923090581,0.08053239736955813,-0.008976814170050224,0.0010345064568985096,0.010384687314548224,0.5852272727272727
SPY,1d,1,close_above_sma:20,close>sma20,2021-03-15→2022-03-11,unconditional,252,0.00024278568217144168,0.009158399834220062,0.026509618117379074,-0.01715835673127239,0.0006898804668861169,0.015169388885885867,0.5357142857142857
SPY,1d,1,close_above_sma:20,close>sma20,2021-03-15→2022-03-11,conditional,166,-4.222757679037293e-05,0.007198534120458602,-0.0058661355331163885,-0.014438886272348295,0.0008768724974549391,0.010215654573384692,0.5602409638554217
SPY,1d,1,close_above_sma:20,close>sma20,2021-06-14→2022-06-10,unconditional,252,-0.00042620455476596343,0.012061904663595701,-0.035334764007238485,-0.020696127756523935,0.0005347701427730334,0.018860077198131518,0.5238095238095238
SPY,1d,1,close_above_sma:20,close>sma20,2021-06-14→2022-06-10,conditional,139,-0.0004031802565438032,0.008673541293503477,-0.04648392656478007,-0.01717963280510052,0.00112082492714638,0.011768376350061623,0.5539568345323741
SPY,1d,1,close_above_sma:20,close>sma20,2021-09-13→2022-09-12,unconditional,252,-0.0004125145222287246,0.013675609095432405,-0.03016425223550026,-0.023630036341451062,-0.0003136907589413318,0.021447889603717428,0.49206349206349204
SPY,1d,1,close_above_sma:20,close>sma20,2021-09-13→2022-09-12,conditional,114,-0.0007990690747193528,0.011784338990704432,-0.06780771287635769,-0.021011098399511745,0.0005980742345280676,0.016103791273287607,0.5175438596491229
SPY,1d,1,close_above_sma:20,close>sma20,2021-12-10→2022-12-09,unconditional,252,-0.0005414164817414012,0.0151917331158237,-0.035638888441073394,-0.02615054673813856,-0.0017094018623388108,0.02498755082178999,0.43253968253968256
SPY,1d,1,close_above_sma:20,close>sma20,2021-12-10→2022-12-09,conditional,112,-0.00145969811800513,0.013147579655068724,-0.11102409388654126,-0.021064990526273968,-0.0014255168584544342,0.01992569355487993,0.4107142857142857
SPY,1d,1,close_above_sma:20,close>sma20,2022-03-14→2023-03-14,unconditional,252,-0.00016356932763082643,0.014813372682416337,-0.011042004487268811,-0.02474723163492761,-0.001058615303430599,0.02441290802097037,0.45634920634920634
SPY,1d,1,close_above_sma:20,close>sma20,2022-03-14→2023-03-14,conditional,122,-0.00026592233456924246,0.012710002040910825,-0.02092228889604379,-0.020471451326244887,-0.0007057327162608429,0.019022715266652817,0.45081967213114754
SPY,1d,1,close_above_sma:20,close>sma20,2022-06-13→2023-06-13,unconditional,252,0.0006894284868466131,0.012723524379922174,0.05418533939656979,-0.018196496296556303,-0.0006212437924861258,0.02187167475715406,0.4801587301587302
SPY,1d,1,close_above_sma:20,close>sma20,2022-06-13→2023-06-13,conditional,144,2.6306898537999267e-05,0.01124117484755836,0.002340226790771185,-0.016883041370876373,-0.00034194240317342306,0.015922176594390488,0.4791666666666667
SPY,1d,1,close_above_sma:20,close>sma20,2022-09-13→2023-09-13,unconditional,252,0.0006001489407295798,0.011037248284990451,0.054374870006840575,-0.01612180788048646,7.684876163704946e-05,0.0182308345188877,0.5
SPY,1d,1,close_above_sma:20,close>sma20,2022-09-13→2023-09-13,conditional,156,0.0004323732421833455,0.008949824787999246,0.048310805230859,-0.014758085908760654,0.000321680362426191,0.01418625468200374,0.5192307692307693
SPY,1d,1,close_above_sma:20,close>sma20,2022-12-12→2023-12-12,unconditional,252,0.0006921942357077831,0.008664231710548389,0.07989101155559605,-0.014386938544641681,0.0006008876157024279,0.014622819790176576,0.5436507936507936
SPY,1d,1,close_above_sma:20,close>sma20,2022-12-12→2023-12-12,conditional,161,0.0009452517075571084,0.007656866564958077,0.12345150585267956,-0.012546834943798157,0.00099014258053165,0.013790131437190212,0.5714285714285714
SPY,1d,1,close_above_sma:20,close>sma20,2023-03-15→2024-03-14,unconditional,252,0.0010997446030646763,0.007584624191122498,0.1449965845838326,-0.013352522102079245,0.0007546540397972423,0.013511036416678017,0.5674603174603174
SPY,1d,1,close_above_sma:20,close>sma20,2023-03-15→2024-03-14,conditional,189,0.0009694825264846704,0.006873912964909815,0.14103794031634062,-0.01073134276301073,0.0007769253180538449,0.012756872292937246,0.5714285714285714
SPY,1d,1,close_above_sma:20,close>sma20,2023-06-14→2024-06-13,unconditional,252,0.0008845351423845678,0.007170345274596042,0.12336018817927845,-0.012886761230654947,0.0007738747908997423,0.01191693961559258,0.5674603174603174
SPY,1d,1,close_above_sma:20,close>sma20,2023-06-14→2024-06-13,conditional,185,0.0009635307697584853,0.006551549929471245,0.14706913327855062,-0.009983857821922858,0.0010930990388977602,0.01163320860783402,0.5891891891891892
SPY,1d,1,close_above_sma:20,close>sma20,2023-09-14→2024-09-13,unconditional,252,0.0009172555275265749,0.008029325979941503,0.11423817264587599,-0.01393104264009265,0.0011010184172566273,0.01238851134275606,0.5873015873015873
SPY,1d,1,close_above_sma:20,close>sma20,2023-09-14→2024-09-13,conditional,184,0.0008385200858539281,0.006950850752577122,0.12063560500749285,-0.011877197544848077,0.0011010184172566273,0.01073751155064323,0.5978260869565217
SPY,1d,1,close_above_sma:20,close>sma20,2023-12-13→2024-12-12,unconditional,252,0.0010222889049865222,0.007657493537713797,0.13350176529064814,-0.01324259814377206,0.0011106399623194152,0.011978125766872969,0.5992063492063492
SPY,1d,1,close_above_sma:20,close>sma20,2023-12-13→2024-12-12,conditional,207,0.0006419467681873533,0.006614271058452828,0.09705480203551163,-0.01000740904910733,0.000972482351246251,0.010206704634847803,0.5942028985507246
SPY,1d,1,close_above_sma:20,close>sma20,2024-03-15→2025-03-18,unconditional,252,0.000459469834283942,0.008574243980975525,0.05358721250566354,-0.015525662118189525,0.0011106399623194152,0.011978125766872969,0.5873015873015873
SPY,1d,1,close_above_sma:20,close>sma20,2024-03-15→2025-03-18,conditional,177,0.00027157276516301697,0.006934774660682861,0.03916100788432474,-0.01232665138286777,0.0010986045794463273,0.009628207361346104,0.5988700564971752
SPY,1d,1,close_above_sma:20,close>sma20,2024-06-14→2025-06-17,unconditional,252,0.00046250903919121315,0.012869630225271303,0.03593802083629509,-0.018141444902111153,0.0012009986830853192,0.016724153353827,0.5793650793650794
SPY,1d,1,close_above_sma:20,close>sma20,2024-06-14→2025-06-17,conditional,173,0.00026626041185113044,0.00855375591927135,0.031127894502022663,-0.013293646737896236,0.0010939077751599413,0.009953129553926444,0.5895953757225434
SPY,1d,1,close_above_sma:20,close>sma20,2024-09-16→2025-09-17,unconditional,252,0.000719649361636917,0.012254493894961872,0.05872534335610406,-0.01659754412998838,0.0009270831782050015,0.01541920064978831,0.5674603174603174
SPY,1d,1,close_above_sma:20,close>sma20,2024-09-16→2025-09-17,conditional,188,0.00046786572737282563,0.007877160948961678,0.05939522251789168,-0.010951352538337301,0.0005230892036865997,0.009494399023413326,0.5691489361702128
SPY,1d,1,close_above_sma:20,close>sma20,2024-12-13→2025-12-16,unconditional,252,0.0004945570375851457,0.012422277470048045,0.039812106819993046,-0.01670955623089166,0.0011229131964287653,0.015349801395143914,0.5634920634920635
SPY,1d,1,close_above_sma:20,close>sma20,2024-12-13→2025-12-16,conditional,177,8.024212923943207e-05,0.008240074516718956,0.009738034416633285,-0.011870489407128227,0.0007311117284942714,0.009619368109109678,0.559322033898305
SPY,1d,1,close_above_sma:50,close>sma50,2020-12-10→2021-12-09,unconditional,252,0.0010232679893676826,0.008008832821213833,0.12776743031234783,-0.013057426836882047,0.001459515639184561,0.014202023983987865,0.5873015873015873
SPY,1d,1,close_above_sma:50,close>sma50,2020-12-10→2021-12-09,conditional,182,0.0007737997915513323,0.007525000517152865,0.10283053001624307,-0.012311429860289123,0.0014195065829383235,0.011802125608813897,0.5824175824175825
SPY,1d,1,close_above_sma:50,close>sma50,2021-03-15→2022-03-11,unconditional,252,0.00024278568217144168,0.009158399834220062,0.026509618117379074,-0.01715835673127239,0.0006898804668861169,0.015169388885885867,0.5357142857142857
SPY,1d,1,close_above_sma:50,close>sma50,2021-03-15→2022-03-11,conditional,189,0.0005155270193706683,0.00726616227366832,0.07094900993869555,-0.012184905533843327,0.0011572934108143862,0.011442958082571847,0.5608465608465608
SPY,1d,1,close_above_sma:50,close>sma50,2021-06-14→2022-06-10,unconditional,252,-0.00042620455476596343,0.012061904663595701,-0.035334764007238485,-0.020696127756523935,0.0005347701427730334,0.018860077198131518,0.5238095238095238
SPY,1d,1,close_above_sma:50,close>sma50,2021-06-14→2022-06-10,conditional,145,-8.403436652341763e-05,0.007776985509245051,-0.01080551923666568,-0.014635655885440423,0.0009000109757435482,0.011814945941437614,0.5448275862068965
SPY,1d,1,close_above_sma:50,close>sma50,2021-09-13→2022-09-12,unconditional,252,-0.0004125145222287246,0.013675609095432405,-0.03016425223550026,-0.023630036341451062,-0.0003136907589413318,0.021447889603717428,0.49206349206349204
SPY,1d,1,close_above_sma:50,close>sma50,2021-09-13→2022-09-12,conditional,114,-0.0007833592253106201,0.01050942151793281,-0.07453875781592077,-0.017830756191275,0.000161770415426421,0.014752223921548832,0.5
SPY,1d,1,close_above_sma:50,close>sma50,2021-12-10→2022-12-09,unconditional,252,-0.0005414164817414012,0.0151917331158237,-0.035638888441073394,-0.02615054673813856,-0.0017094018623388108,0.02498755082178999,0.43253968253968256
SPY,1d,1,close_above_sma:50,close>sma50,2021-12-10→2022-12-09,conditional,96,-0.0016322979970651193,0.0118731808081944,-0.13747773435224464,-0.019552156897032796,-0.0011573102257971257,0.015212018364127944,0.3958333333333333
SPY,1d,1,close_above_sma:50,close>sma50,2022-03-14→2023-03-14,unconditional,252,-0.00016356932763082643,0.014813372682416337,-0.011042004487268811,-0.02474723163492761,-0.001058615303430599,0.02441290802097037,0.45634920634920634
SPY,1d,1,close_above_sma:50,close>sma50,2022-03-14→2023-03-14,conditional,115,-0.0015782043233347387,0.011963659956878862,-0.1319165145969652,-0.020223254604324246,-0.0011537139771220506,0.014814626175377453,0.4260869565217391
SPY,1d,1,close_above_sma:50,close>sma50,2022-06-13→2023-06-13,unconditional,252,0.0006894284868466131,0.012723524379922174,0.05418533939656979,-0.018196496296556303,-0.0006212437924861258,0.02187167475715406,0.4801587301587302
SPY,1d,1,close_above_sma:50,close>sma50,2022-06-13→2023-06-13,conditional,149,-0.0003806983317212943,0.010917219454977357,-0.03487136383868578,-0.018265583079081237,-0.00022364693603704744,0.014653494451386528,0.48322147651006714
SPY,1d,1,close_above_sma:50,close>sma50,2022-09-13→2023-09-13,unconditional,252,0.0006001489407295798,0.011037248284990451,0.054374870006840575,-0.01612180788048646,7.684876163704946e-05,0.0182308345188877,0.5
SPY,1d,1,close_above_sma:50,close>sma50,2022-09-13→2023-09-13,conditional,166,-8.18376463724244e-05,0.009029646771671255,-0.009063216805908061,-0.01585234347385911,-8.449820139544428e-05,0.013935220042554264,0.4939759036144578
SPY,1d,1,close_above_sma:50,close>sma50,2022-12-12→2023-12-12,unconditional,252,0.0006921942357077831,0.008664231710548389,0.07989101155559605,-0.014386938544641681,0.0006008876157024279,0.014622819790176576,0.5436507936507936
SPY,1d,1,close_above_sma:50,close>sma50,2022-12-12→2023-12-12,conditional,168,0.000538586967152572,0.008117388269517464,0.06634978508728992,-0.013861090560091365,0.0005598740283234704,0.013988052071879522,0.5476190476190477
SPY,1d,1,close_above_sma:50,close>sma50,2023-03-15→2024-03-14,unconditional,252,0.0010997446030646763,0.007584624191122498,0.1449965845838326,-0.013352522102079245,0.0007546540397972423,0.013511036416678017,0.5674603174603174
SPY,1d,1,close_above_sma:50,close>sma50,2023-03-15→2024-03-14,conditional,192,0.001224019875978077,0.006986497110760568,0.17519793632961614,-0.00996585691190809,0.0007546540397972423,0.013175684487203285,0.5729166666666666
SPY,1d,1,close_above_sma:50,close>sma50,2023-06-14→2024-06-13,unconditional,252,0.0008845351423845678,0.007170345274596042,0.12336018817927845,-0.012886761230654947,0.0007738747908997423,0.01191693961559258,0.5674603174603174
SPY,1d,1,close_above_sma:50,close>sma50,2023-06-14→2024-06-13,conditional,187,0.0010038631110413261,0.006591700390972946,0.15229198105181996,-0.01000740904910733,0.00099014258053165,0.011859819204881638,0.5882352941176471
SPY,1d,1,close_above_sma:50,close>sma50,2023-09-14→2024-09-13,unconditional,252,0.0009172555275265749,0.008029325979941503,0.11423817264587599,-0.01393104264009265,0.0011010184172566273,0.01238851134275606,0.5873015873015873
SPY,1d,1,close_above_sma:50,close>sma50,2023-09-14→2024-09-13,conditional,186,0.0008471671571814147,0.007058427079243004,0.12002208816079049,-0.013461788526669433,0.0011106399623194152,0.010724309268283772,0.6075268817204301
SPY,1d,1,close_above_sma:50,close>sma50,2023-12-13→2024-12-12,unconditional,252,0.0010222889049865222,0.007657493537713797,0.13350176529064814,-0.01324259814377206,0.0011106399623194152,0.011978125766872969,0.5992063492063492
SPY,1d,1,close_above_sma:50,close>sma50,2023-12-13→2024-12-12,conditional,221,0.0007497685558191763,0.006963294850670439,0.10767439436332173,-0.01252813937555064,0.0010930990388977602,0.010527391659852947,0.5972850678733032
SPY,1d,1,close_above_sma:50,close>sma50,2024-03-15→2025-03-18,unconditional,252,0.000459469834283942,0.008574243980975525,0.05358721250566354,-0.015525662118189525,0.0011106399623194152,0.011978125766872969,0.5873015873015873
SPY,1d,1,close_above_sma:50,close>sma50,2024-03-15→2025-03-18,conditional,190,0.00016883162854262817,0.007338612291513629,0.02300593379730185,-0.01335558187869219,0.0009626784280011291,0.010123293369042179,0.5894736842105263
SPY,1d,1,close_above_sma:50,close>sma50,2024-06-14→2025-06-17,unconditional,252,0.00046250903919121315,0.012869630225271303,0.03593802083629509,-0.018141444902111153,0.0012009986830853192,0.016724153353827,0.5793650793650794
SPY,1d,1,close_above_sma:50,close>sma50,2024-06-14→2025-06-17,conditional,175,0.00034978798528194853,0.008067333048557819,0.04335856511396656,-0.014058451813958794,0.0009528745047560072,0.010384152521902276,0.5714285714285714
SPY,1d,1,close_above_sma:50,close>sma50,2024-09-16→2025-09-17,unconditional,252,0.000719649361636917,0.012254493894961872,0.05872534335610406,-0.01659754412998838,0.0009270831782050015,0.01541920064978831,0.5674603174603174
SPY,1d,1,close_above_sma:50,close>sma50,2024-09-16→2025-09-17,conditional,191,0.0010138928166467543,0.007421864637684599,0.13660890707959053,-0.010853307530366507,0.0009012918516539958,0.010846615698572593,0.5706806282722513
SPY,1d,1,close_above_sma:50,close>sma50,2024-12-13→2025-12-16,unconditional,252,0.0004945570375851457,0.012422277470048045,0.039812106819993046,-0.01670955623089166,0.0011229131964287653,0.015349801395143914,0.5634920634920635
SPY,1d,1,close_above_sma:50,close>sma50,2024-12-13→2025-12-16,conditional,185,0.0006628174186394798,0.007671692027602902,0.08639781370975913,-0.011279292783446682,0.000984619056854319,0.010966989193700398,0.5621621621621622
SPY,1d,1,close_above_sma:200,close>sma200,2020-12-10→2021-12-09,unconditional,252,0.0010232679893676826,0.008008832821213833,0.12776743031234783,-0.013057426836882047,0.001459515639184561,0.014202023983987865,0.5873015873015873
SPY,1d,1,close_above_sma:200,close>sma200,2020-12-10→2021-12-09,conditional,53,0.0012006556291779687,0.008869149547474297,0.1353743809089209,-0.01552069576891375,0.002608253575296704,0.013486484249331406,0.660377358490566
SPY,1d,1,close_above_sma:200,close>sma200,2021-03-15→2022-03-11,unconditional,252,0.00024278568217144168,0.009158399834220062,0.026509618117379074,-0.01715835673127239,0.0006898804668861169,0.015169388885885867,0.5357142857142857
SPY,1d,1,close_above_sma:200,close>sma200,2021-03-15→2022-03-11,conditional,92,-0.000516999446475517,0.010151956037221575,-0.05092609193538345,-0.019670274962785284,0.001010417951444964,0.01494219326387243,0.5543478260869565
SPY,1d,1,close_above_sma:200,close>sma200,2021-06-14→2022-06-10,unconditional,252,-0.00042620455476596343,0.012061904663595701,-0.035334764007238485,-0.020696127756523935,0.0005347701427730334,0.018860077198131518,0.5238095238095238
SPY,1d,1,close_above_sma:200,close>sma200,2021-06-14→2022-06-10,conditional,103,-0.0006946112424793244,0.010082998995444261,-0.06888934956684677,-0.019613359121854124,0.0009000109757435482,0.01458769876386656,0.5436893203883495
SPY,1d,1,close_above_sma:200,close>sma200,2021-09-13→2022-09-12,unconditional,252,-0.0004125145222287246,0.013675609095432405,-0.03016425223550026,-0.023630036341451062,-0.0003136907589413318,0.021447889603717428,0.49206349206349204
SPY,1d,1,close_above_sma:200,close>sma200,2021-09-13→2022-09-12,conditional,103,-0.0006946112424793244,0.010082998995444261,-0.06888934956684677,-0.019613359121854124,0.0009000109757435482,0.01458769876386656,0.5436893203883495
SPY,1d,1,close_above_sma:200,close>sma200,2021-12-10→2022-12-09,unconditional,252,-0.0005414164817414012,0.0151917331158237,-0.035638888441073394,-0.02615054673813856,-0.0017094018623388108,0.02498755082178999,0.43253968253968256
SPY,1d,1,close_above_sma:200,close>sma200,2021-12-10→2022-12-09,conditional,53,-0.002925632594707394,0.010852808660905046,-0.2695737745056142,-0.01966587395809105,-0.001244394859361897,0.014345725115243457,0.39622641509433965
SPY,1d,1,close_above_sma:200,close>sma200,2022-03-14→2023-03-14,unconditional,252,-0.00016356932763082643,0.014813372682416337,-0.011042004487268811,-0.02474723163492761,-0.001058615303430599,0.02441290802097037,0.45634920634920634
SPY,1d,1,close_above_sma:200,close>sma200,2022-03-14→2023-03-14,conditional,48,-0.0017247602898222785,0.009921456853871578,-0.17384143429996754,-0.01721880973735357,-0.0011135117573002895,0.014039533063570262,0.4375
SPY,1d,1,close_above_sma:200,close>sma200,2022-06-13→2023-06-13,unconditional,252,0.0006894284868466131,0.012723524379922174,0.05418533939656979,-0.018196496296556303,-0.0006212437924861258,0.02187167475715406,0.4801587301587302
SPY,1d,1,close_above_sma:200,close>sma200,2022-06-13→2023-06-13,conditional,97,0.0003053607764096893,0.009039076903091378,0.03378229654238869,-0.015805171607442724,0.0003748125937033109,0.014539299381807468,0.5257731958762887
SPY,1d,1,close_above_sma:200,close>sma200,2022-09-13→2023-09-13,unconditional,252,0.0006001489407295798,0.011037248284990451,0.054374870006840575,-0.01612180788048646,7.684876163704946e-05,0.0182308345188877,0.5
SPY,1d,1,close_above_sma:200,close>sma200,2022-09-13→2023-09-13,conditional,160,0.0003792362803449266,0.00814306549112873,0.04657168492112419,-0.013981690958905812,0.00037787341746498004,0.0141126326667591,0.53125
SPY,1d,1,close_above_sma:200,close>sma200,2022-12-12→2023-12-12,unconditional,252,0.0006921942357077831,0.008664231710548389,0.07989101155559605,-0.014386938544641681,0.0006008876157024279,0.014622819790176576,0.5436507936507936
SPY,1d,1,close_above_sma:200,close>sma200,2022-12-12→2023-12-12,conditional,212,0.0004201856683564368,0.00802692838356407,0.052347006012512645,-0.014109403723831697,0.0004928608572952742,0.013927153415052037,0.5424528301886793
SPY,1d,1,close_above_sma:200,close>sma200,2023-03-15→2024-03-14,unconditional,252,0.0010997446030646763,0.007584624191122498,0.1449965845838326,-0.013352522102079245,0.0007546540397972423,0.013511036416678017,0.5674603174603174
SPY,1d,1,close_above_sma:200,close>sma200,2023-03-15→2024-03-14,conditional,241,0.0008709858593328601,0.0074348090072636356,0.11714972886081232,-0.013386066321874113,0.0006896551724138167,0.013130492202976685,0.5601659751037344
SPY,1d,1,close_above_sma:200,close>sma200,2023-06-14→2024-06-13,unconditional,252,0.0008845351423845678,0.007170345274596042,0.12336018817927845,-0.012886761230654947,0.0007738747908997423,0.01191693961559258,0.5674603174603174
SPY,1d,1,close_above_sma:200,close>sma200,2023-06-14→2024-06-13,conditional,244,0.0007604056307286806,0.007048854487721704,0.10787648291693636,-0.013205536212969887,0.000715617189171569,0.011871869589726525,0.5655737704918032
SPY,1d,1,close_above_sma:200,close>sma200,2023-09-14→2024-09-13,unconditional,252,0.0009172555275265749,0.008029325979941503,0.11423817264587599,-0.01393104264009265,0.0011010184172566273,0.01238851134275606,0.5873015873015873
SPY,1d,1,close_above_sma:200,close>sma200,2023-09-14→2024-09-13,conditional,244,0.0007941988153835404,0.007948634854827963,0.09991637933917015,-0.013996592275004216,0.0010958518091720437,0.012308285266377847,0.5860655737704918
SPY,1d,1,close_above_sma:200,close>sma200,2023-12-13→2024-12-12,unconditional,252,0.0010222889049865222,0.007657493537713797,0.13350176529064814,-0.01324259814377206,0.0011106399623194152,0.011978125766872969,0.5992063492063492
SPY,1d,1,close_above_sma:200,close>sma200,2023-12-13→2024-12-12,conditional,252,0.0010222889049865222,0.007657493537713797,0.13350176529064814,-0.01324259814377206,0.0011106399623194152,0.011978125766872969,0.5992063492063492
